State 0:
  pred_1(chair_0, chair_0)  [conf=1.000]
  pred_2(chair_0, chair_0)  [conf=1.000]
  pred_3(chair_0, chair_0)  [conf=1.000]
  pred_6(chair_0, chair_0)  [conf=1.000]
  pred_1(chair_1, chair_0)  [conf=1.000]
  pred_2(chair_1, chair_0)  [conf=1.000]
  pred_3(chair_1, chair_0)  [conf=1.000]
  pred_6(chair_1, chair_0)  [conf=1.000]
  pred_1(person, person)  [conf=1.000]
  pred_2(person, person)  [conf=1.000]
  pred_3(person, person)  [conf=1.000]
  pred_6(person, person)  [conf=1.000]
  pred_1(pad_6, pad_6)  [conf=1.000]
  pred_2(pad_6, pad_6)  [conf=1.000]
  pred_3(pad_6, pad_6)  [conf=1.000]
  pred_6(pad_6, pad_6)  [conf=1.000]
  pred_1(vase, chair_0)  [conf=1.000]
  pred_2(vase, chair_0)  [conf=1.000]
  pred_3(vase, chair_0)  [conf=1.000]
  pred_6(vase, chair_0)  [conf=1.000]
  pred_1(chair_2, pad_6)  [conf=1.000]
  pred_2(chair_2, pad_6)  [conf=1.000]
  pred_3(chair_2, pad_6)  [conf=1.000]
  pred_1(chair_2, chair_2)  [conf=1.000]
  pred_2(chair_2, chair_2)  [conf=1.000]
  pred_3(chair_2, chair_2)  [conf=1.000]
  pred_6(chair_2, chair_2)  [conf=1.000]
  pred_0(television, television)  [conf=1.000]
  pred_4(television, television)  [conf=1.000]
  pred_5(television, television)  [conf=1.000]
  pred_7(television, television)  [conf=1.000]
  pred_0(television, chair_2)  [conf=1.000]
  pred_4(television, chair_2)  [conf=1.000]
  pred_5(television, chair_2)  [conf=1.000]
  pred_7(television, chair_2)  [conf=1.000]
  pred_1(chair_1, chair_1)  [conf=1.000]
  pred_2(chair_1, chair_1)  [conf=1.000]
  pred_3(chair_1, chair_1)  [conf=1.000]
  pred_6(chair_1, chair_1)  [conf=1.000]

State 1:
  pred_1(person_2, person_2)  [conf=1.000]
  pred_2(person_2, person_2)  [conf=1.000]
  pred_3(person_2, person_2)  [conf=1.000]
  pred_6(person_2, person_2)  [conf=1.000]
  pred_0(person_3, person_1)  [conf=1.000]
  pred_4(person_3, person_1)  [conf=1.000]
  pred_5(person_3, person_1)  [conf=1.000]
  pred_7(person_3, person_1)  [conf=1.000]
  pred_1(person_1, person_1)  [conf=1.000]
  pred_2(person_1, person_1)  [conf=1.000]
  pred_3(person_1, person_1)  [conf=1.000]
  pred_1(person_1, person_1)  [conf=1.000]
  pred_2(person_1, person_1)  [conf=1.000]
  pred_3(person_1, person_1)  [conf=1.000]
  pred_0(person_4, person_2)  [conf=1.000]
  pred_3(person_4, person_2)  [conf=1.000]
  pred_4(person_4, person_2)  [conf=1.000]
  pred_5(person_4, person_2)  [conf=1.000]
  pred_7(person_4, person_2)  [conf=1.000]
  pred_1(person_0, pad_6)  [conf=1.000]
  pred_2(person_0, pad_6)  [conf=1.000]
  pred_3(person_0, pad_6)  [conf=1.000]
  pred_0(person_5, person_5)  [conf=1.000]
  pred_4(person_5, person_5)  [conf=1.000]
  pred_7(person_5, person_5)  [conf=1.000]
  pred_1(person_1, person_0)  [conf=1.000]
  pred_2(person_1, person_0)  [conf=1.000]
  pred_3(person_1, person_0)  [conf=1.000]
  pred_6(person_1, person_0)  [conf=1.000]
  pred_0(person_0, person_5)  [conf=1.000]
  pred_6(person_0, person_5)  [conf=1.000]
  pred_0(person_3, person_3)  [conf=1.000]
  pred_7(person_3, person_3)  [conf=1.000]

State 2:
  pred_0(person_0, person_0)  [conf=1.000]
  pred_4(person_0, person_0)  [conf=1.000]
  pred_5(person_0, person_0)  [conf=1.000]
  pred_7(person_0, person_0)  [conf=1.000]
  pred_0(person_1, person_0)  [conf=1.000]
  pred_4(person_1, person_0)  [conf=1.000]
  pred_5(person_1, person_0)  [conf=1.000]
  pred_7(person_1, person_0)  [conf=1.000]
  pred_1(chair, chair)  [conf=1.000]
  pred_2(chair, chair)  [conf=1.000]
  pred_3(chair, chair)  [conf=1.000]
  pred_6(chair, chair)  [conf=1.000]
  pred_1(chair, chair)  [conf=1.000]
  pred_2(chair, chair)  [conf=1.000]
  pred_3(chair, chair)  [conf=1.000]
  pred_6(chair, chair)  [conf=1.000]
  pred_0(person_2, person_0)  [conf=1.000]
  pred_4(person_2, person_0)  [conf=1.000]
  pred_5(person_2, person_0)  [conf=1.000]
  pred_6(person_2, person_0)  [conf=1.000]
  pred_7(person_2, person_0)  [conf=1.000]
  pred_0(person_3, pad_6)  [conf=1.000]
  pred_4(person_3, pad_6)  [conf=1.000]
  pred_7(person_3, pad_6)  [conf=1.000]
  pred_0(person_3, person_3)  [conf=1.000]
  pred_4(person_3, person_3)  [conf=1.000]
  pred_7(person_3, person_3)  [conf=1.000]
  pred_0(umbrella, umbrella)  [conf=1.000]
  pred_4(umbrella, umbrella)  [conf=1.000]
  pred_5(umbrella, umbrella)  [conf=1.000]
  pred_7(umbrella, umbrella)  [conf=1.000]
  pred_0(umbrella, person_3)  [conf=1.000]
  pred_4(umbrella, person_3)  [conf=1.000]
  pred_7(umbrella, person_3)  [conf=1.000]
  pred_0(person_1, person_1)  [conf=1.000]
  pred_4(person_1, person_1)  [conf=1.000]
  pred_5(person_1, person_1)  [conf=1.000]
  pred_7(person_1, person_1)  [conf=1.000]

State 3:
  pred_0(person_2, person_2)  [conf=1.000]
  pred_4(person_2, person_2)  [conf=1.000]
  pred_5(person_2, person_2)  [conf=1.000]
  pred_6(person_2, person_2)  [conf=1.000]
  pred_7(person_2, person_2)  [conf=1.000]
  pred_5(wine glass_0, person_2)  [conf=1.000]
  pred_6(wine glass_0, person_2)  [conf=1.000]
  pred_7(wine glass_0, person_2)  [conf=1.000]
  pred_0(person_1, person_1)  [conf=1.000]
  pred_4(person_1, person_1)  [conf=1.000]
  pred_5(person_1, person_1)  [conf=1.000]
  pred_6(person_1, person_1)  [conf=1.000]
  pred_7(person_1, person_1)  [conf=1.000]
  pred_1(wine glass_2, wine glass_2)  [conf=1.000]
  pred_2(wine glass_2, wine glass_2)  [conf=1.000]
  pred_3(wine glass_2, wine glass_2)  [conf=1.000]
  pred_6(wine glass_2, wine glass_2)  [conf=1.000]
  pred_0(person_3, person_2)  [conf=1.000]
  pred_4(person_3, person_2)  [conf=1.000]
  pred_5(person_3, person_2)  [conf=1.000]
  pred_6(person_3, person_2)  [conf=1.000]
  pred_7(person_3, person_2)  [conf=1.000]
  pred_0(person_0, wine glass_2)  [conf=1.000]
  pred_1(person_0, wine glass_2)  [conf=1.000]
  pred_3(person_0, wine glass_2)  [conf=1.000]
  pred_4(person_0, wine glass_2)  [conf=1.000]
  pred_5(person_0, wine glass_2)  [conf=1.000]
  pred_6(person_0, wine glass_2)  [conf=1.000]
  pred_7(person_0, wine glass_2)  [conf=1.000]
  pred_1(wine glass_1, wine glass_1)  [conf=1.000]
  pred_2(wine glass_1, wine glass_1)  [conf=1.000]
  pred_3(wine glass_1, wine glass_1)  [conf=1.000]
  pred_6(wine glass_1, wine glass_1)  [conf=1.000]
  pred_0(person_0, person_0)  [conf=1.000]
  pred_1(person_0, person_0)  [conf=1.000]
  pred_4(person_0, person_0)  [conf=1.000]
  pred_5(person_0, person_0)  [conf=1.000]
  pred_6(person_0, person_0)  [conf=1.000]
  pred_7(person_0, person_0)  [conf=1.000]
  pred_0(person_1, wine glass_1)  [conf=1.000]
  pred_3(person_1, wine glass_1)  [conf=1.000]
  pred_4(person_1, wine glass_1)  [conf=1.000]
  pred_5(person_1, wine glass_1)  [conf=1.000]
  pred_6(person_1, wine glass_1)  [conf=1.000]
  pred_7(person_1, wine glass_1)  [conf=1.000]
  pred_1(wine glass_0, wine glass_0)  [conf=1.000]
  pred_2(wine glass_0, wine glass_0)  [conf=1.000]
  pred_3(wine glass_0, wine glass_0)  [conf=1.000]
  pred_6(wine glass_0, wine glass_0)  [conf=1.000]

State 4:
  pred_1(person_2, person_2)  [conf=1.000]
  pred_2(person_2, person_2)  [conf=1.000]
  pred_3(person_2, person_2)  [conf=1.000]
  pred_1(person_3, person_2)  [conf=1.000]
  pred_2(person_3, person_2)  [conf=1.000]
  pred_3(person_3, person_2)  [conf=1.000]
  pred_1(person_1, person_1)  [conf=1.000]
  pred_2(person_1, person_1)  [conf=1.000]
  pred_3(person_1, person_1)  [conf=1.000]
  pred_1(pad_6, pad_6)  [conf=1.000]
  pred_2(pad_6, pad_6)  [conf=1.000]
  pred_3(pad_6, pad_6)  [conf=1.000]
  pred_6(pad_6, pad_6)  [conf=1.000]
  pred_1(person_4, person_2)  [conf=1.000]
  pred_2(person_4, person_2)  [conf=1.000]
  pred_3(person_4, person_2)  [conf=1.000]
  pred_0(person_0, pad_6)  [conf=1.000]
  pred_3(person_0, pad_6)  [conf=1.000]
  pred_4(person_0, pad_6)  [conf=1.000]
  pred_5(person_0, pad_6)  [conf=1.000]
  pred_6(person_0, pad_6)  [conf=1.000]
  pred_7(person_0, pad_6)  [conf=1.000]
  pred_1(person_5, person_5)  [conf=1.000]
  pred_2(person_5, person_5)  [conf=1.000]
  pred_3(person_5, person_5)  [conf=1.000]
  pred_0(person_0, person_0)  [conf=1.000]
  pred_4(person_0, person_0)  [conf=1.000]
  pred_5(person_0, person_0)  [conf=1.000]
  pred_6(person_0, person_0)  [conf=1.000]
  pred_7(person_0, person_0)  [conf=1.000]
  pred_0(person_0, person_5)  [conf=1.000]
  pred_3(person_0, person_5)  [conf=1.000]
  pred_4(person_0, person_5)  [conf=1.000]
  pred_5(person_0, person_5)  [conf=1.000]
  pred_6(person_0, person_5)  [conf=1.000]
  pred_7(person_0, person_5)  [conf=1.000]
  pred_1(person_3, person_3)  [conf=1.000]
  pred_2(person_3, person_3)  [conf=1.000]
  pred_3(person_3, person_3)  [conf=1.000]

State 5:
  pred_0(person_1, person_1)  [conf=1.000]
  pred_1(person_1, person_1)  [conf=1.000]
  pred_4(person_1, person_1)  [conf=1.000]
  pred_5(person_1, person_1)  [conf=1.000]
  pred_6(person_1, person_1)  [conf=1.000]
  pred_7(person_1, person_1)  [conf=1.000]
  pred_0(tennis racket, wheelchair_0)  [conf=1.000]
  pred_3(tennis racket, wheelchair_0)  [conf=1.000]
  pred_4(tennis racket, wheelchair_0)  [conf=1.000]
  pred_5(tennis racket, wheelchair_0)  [conf=1.000]
  pred_6(tennis racket, wheelchair_0)  [conf=1.000]
  pred_7(tennis racket, wheelchair_0)  [conf=1.000]
  pred_1(wheelchair_0, wheelchair_0)  [conf=1.000]
  pred_2(wheelchair_0, wheelchair_0)  [conf=1.000]
  pred_3(wheelchair_0, wheelchair_0)  [conf=1.000]
  pred_6(wheelchair_0, wheelchair_0)  [conf=1.000]
  pred_1(shorts, person_0)  [conf=1.000]
  pred_5(shorts, person_0)  [conf=1.000]
  pred_7(shorts, person_0)  [conf=1.000]
  pred_1(wheelchair_1, person_1)  [conf=1.000]
  pred_4(wheelchair_1, person_1)  [conf=1.000]
  pred_5(wheelchair_1, person_1)  [conf=1.000]
  pred_6(wheelchair_1, person_1)  [conf=1.000]
  pred_7(wheelchair_1, person_1)  [conf=1.000]
  pred_0(person_0, shorts)  [conf=1.000]
  pred_1(person_0, shorts)  [conf=1.000]
  pred_4(person_0, shorts)  [conf=1.000]
